no;schid;ses;byhomewk;math;male;minority;mses;mhmwk
42;2;1.037;4;60.09;1;0;0.3445;4.090909091
43;2;-0.473;4;46.02;0;0;0.3445;4.090909091
44;2;0.889;7;70.76;0;0;0.3445;4.090909091
45;3;-0.246;4;51.51;0;0;-0.602733333;3.333333333
46;3;0.018;4;54.4;0;1;-0.602733333;3.333333333
47;3;-0.715;4;45.89;0;0;-0.602733333;3.333333333
48;3;-1.703;2;47.53;1;0;-0.602733333;3.333333333
49;3;0.049;2;66.36;1;0;-0.602733333;3.333333333
50;3;-0.496;5;66.36;0;0;-0.602733333;3.333333333
51;3;-0.794;4;45.89;0;0;-0.602733333;3.333333333
52;3;-1.188;2;44.2;1;0;-0.602733333;3.333333333
53;3;-0.343;4;47.24;0;0;-0.602733333;3.333333333
54;3;-0.775;5;39.81;1;1;-0.602733333;3.333333333
55;3;-0.953;2;38.38;1;0;-0.602733333;3.333333333
56;3;1.361;4;54.4;0;1;-0.602733333;3.333333333
57;3;-1.188;4;43.11;0;0;-0.602733333;3.333333333
58;3;-0.496;3;51.22;0;0;-0.602733333;3.333333333
59;3;-1.572;1;44.2;0;0;-0.602733333;3.333333333
60;4;-0.185;7;54.96;1;0;-0.621125;5.5
61;4;-0.964;4;54.96;0;0;-0.621125;5.5
62;4;-0.964;4;54.96;0;0;-0.621125;5.5
63;4;0.221;7;50.74;1;0;-0.621125;5.5
64;4;-0.185;4;50.74;0;0;-0.621125;5.5
65;4;-0.964;4;46.21;0;0;-0.621125;5.5
66;4;-0.964;7;54.96;1;0;-0.621125;5.5
67;4;-0.964;7;50.74;1;0;-0.621125;5.5
68;5;0.028;4;45;0;0;-0.181;4.074074074
69;5;-0.307;3;39.75;1;0;-0.181;4.074074074
70;5;-0.023;5;52.78;0;1;-0.181;4.074074074
71;5;-0.307;3;68.45;0;0;-0.181;4.074074074
72;5;-0.967;7;39.05;1;0;-0.181;4.074074074
73;5;-0.023;3;52.66;1;0;-0.181;4.074074074
74;5;0.102;4;62.25;0;0;-0.181;4.074074074
75;5;0.028;4;49.01;0;0;-0.181;4.074074074
76;5;0.102;5;42.52;1;0;-0.181;4.074074074
77;5;-0.967;7;39.05;1;0;-0.181;4.074074074
78;5;0.241;5;67.69;1;0;-0.181;4.074074074
79;5;-0.967;3;39.05;1;0;-0.181;4.074074074
80;5;0.241;4;67.69;0;0;-0.181;4.074074074
81;5;-0.967;3;38.86;1;0;-0.181;4.074074074
82;5;0.028;4;52.66;0;0;-0.181;4.074074074
83;5;0.028;3;52.66;1;0;-0.181;4.074074074
84;5;0.337;4;41.12;0;0;-0.181;4.074074074
85;5;-0.307;3;39.75;0;0;-0.181;4.074074074
86;5;-0.118;5;40.55;0;0;-0.181;4.074074074
87;5;0.337;5;52.3;0;0;-0.181;4.074074074
88;5;-0.307;4;68.45;0;0;-0.181;4.074074074
89;5;-1.067;3;41.09;1;0;-0.181;4.074074074
90;5;-0.023;4;52.3;0;0;-0.181;4.074074074
91;5;-0.953;3;37.05;1;1;-0.181;4.074074074
92;5;-0.198;4;38.86;0;0;-0.181;4.074074074
93;5;1.179;4;42.52;0;0;-0.181;4.074074074
94;5;-0.037;4;52.3;1;1;-0.181;4.074074074
95;6;-0.599;3;55.03;0;1;0.043809524;4.19047619
96;6;0.326;4;58.84;0;1;0.043809524;4.19047619
97;6;1.359;3;67.93;1;0;0.043809524;4.19047619
98;6;-1.616;3;38.35;1;1;0.043809524;4.19047619
99;6;-0.198;4;55.03;0;1;0.043809524;4.19047619
100;6;-1.368;4;49.58;0;1;0.043809524;4.19047619
101;6;-1.851;4;55.03;0;1;0.043809524;4.19047619
102;6;0.797;4;64.52;1;0;0.043809524;4.19047619
103;6;1.359;4;67.93;0;0;0.043809524;4.19047619
104;6;0.193;4;45.66;1;1;0.043809524;4.19047619
105;6;1.359;8;50.42;1;1;0.043809524;4.19047619
106;6;-0.599;3;38.3;1;1;0.043809524;4.19047619
107;6;1.284;4;69.95;1;0;0.043809524;4.19047619
108;6;-0.623;3;49.58;0;1;0.043809524;4.19047619
109;6;0.279;8;69.06;1;1;0.043809524;4.19047619
110;6;0.199;4;69.06;0;0;0.043809524;4.19047619
111;6;-1.616;3;36.89;1;0;0.043809524;4.19047619
112;6;1.245;4;58.84;1;0;0.043809524;4.19047619
113;6;0.487;7;69.95;0;1;0.043809524;4.19047619
114;6;0.326;3;67.93;0;1;0.043809524;4.19047619
115;6;0.177;4;46.32;0;0;0.043809524;4.19047619
116;7;-0.579;4;40.31;0;1;-0.445789474;4.236842105
117;7;-0.643;6;37.35;1;1;-0.445789474;4.236842105
118;7;0.037;3;59.92;1;1;-0.445789474;4.236842105
119;7;-0.643;4;44.42;1;1;-0.445789474;4.236842105
120;7;-1.02;2;35.84;0;1;-0.445789474;4.236842105
121;7;0.784;4;54.42;1;0;-0.445789474;4.236842105
122;7;-1.531;4;38.68;0;1;-0.445789474;4.236842105
123;7;-0.22;2;42.41;0;1;-0.445789474;4.236842105
124;7;-0.419;4;56.73;0;1;-0.445789474;4.236842105
125;7;-1.682;4;43.85;0;1;-0.445789474;4.236842105
126;7;-0.341;7;55.82;1;0;-0.445789474;4.236842105
127;7;-0.754;4;42.54;0;1;-0.445789474;4.236842105
128;7;-1.481;2;38.62;0;1;-0.445789474;4.236842105
129;7;-0.419;7;47.12;0;0;-0.445789474;4.236842105
130;7;-1.97;3;40.81;0;1;-0.445789474;4.236842105
131;7;-1.096;2;48.5;0;1;-0.445789474;4.236842105
132;7;-0.015;2;37.15;1;1;-0.445789474;4.236842105
133;7;-0.419;7;43.35;0;1;-0.445789474;4.236842105
134;7;0.033;5;47.12;0;0;-0.445789474;4.236842105
135;7;-0.393;5;37.35;0;0;-0.445789474;4.236842105
136;7;0.152;3;57.34;0;0;-0.445789474;4.236842105
137;7;0.152;5;75.43;0;0;-0.445789474;4.236842105
138;7;-0.966;8;55.82;0;0;-0.445789474;4.236842105
139;7;-1.105;3;45.29;0;1;-0.445789474;4.236842105
140;7;-0.85;8;43.35;0;1;-0.445789474;4.236842105
141;7;-0.341;3;44.35;0;1;-0.445789474;4.236842105
142;7;0.424;7;62.89;0;0;-0.445789474;4.236842105
143;7;0.784;4;54.42;1;0;-0.445789474;4.236842105
144;7;-0.643;5;43.35;1;1;-0.445789474;4.236842105
145;7;-0.015;7;55.82;0;0;-0.445789474;4.236842105
146;7;0.199;3;57.34;1;0;-0.445789474;4.236842105
147;7;-0.015;5;47.12;1;1;-0.445789474;4.236842105
148;7;0.199;2;57.34;1;0;-0.445789474;4.236842105
149;7;-0.643;5;55.82;0;1;-0.445789474;4.236842105
150;7;0.152;2;57.34;1;0;-0.445789474;4.236842105
151;7;-1.682;4;48.5;0;1;-0.445789474;4.236842105
152;7;0.429;2;54.42;0;0;-0.445789474;4.236842105
153;7;-0.4;4;44.35;0;1;-0.445789474;4.236842105
154;8;0.833;5;58.74;0;0;0.393478261;5.043478261
155;8;-1.03;4;47.48;0;0;0.393478261;5.043478261
156;8;0.436;3;54.07;1;0;0.393478261;5.043478261
157;8;0.224;7;47.48;0;0;0.393478261;5.043478261
158;8;0.932;7;56.48;0;0;0.393478261;5.043478261
159;8;0.842;5;66.57;1;0;0.393478261;5.043478261
160;8;0.793;3;51;0;0;0.393478261;5.043478261
161;8;0.725;5;58.74;1;0;0.393478261;5.043478261
162;8;0.842;4;58.09;1;0;0.393478261;5.043478261
163;8;0.224;3;47.48;1;1;0.393478261;5.043478261
164;8;1.214;5;66.15;1;0;0.393478261;5.043478261
165;8;1.229;5;66.57;1;0;0.393478261;5.043478261
166;8;-0.957;5;63.01;1;0;0.393478261;5.043478261
167;8;1.214;7;64.74;0;0;0.393478261;5.043478261
168;8;-0.957;3;51.79;0;0;0.393478261;5.043478261
169;8;-0.957;7;63.01;1;0;0.393478261;5.043478261
170;8;1.033;7;58.74;1;0;0.393478261;5.043478261
171;8;-1.03;5;45.3;0;0;0.393478261;5.043478261
172;8;1.229;4;53.15;1;1;0.393478261;5.043478261
173;8;-0.668;3;63.01;1;0;0.393478261;5.043478261
174;8;1.214;7;58.74;0;0;0.393478261;5.043478261
175;8;1.229;5;54.78;0;0;0.393478261;5.043478261
176;8;0.436;7;66.15;1;0;0.393478261;5.043478261
177;9;-0.105;5;51.3;1;0;-0.4285;4.911764706
178;9;-1.33;3;70.84;1;0;-0.4285;4.911764706
179;9;-1.33;7;50.13;0;0;-0.4285;4.911764706
180;9;-0.231;1;38.14;1;0;-0.4285;4.911764706
181;9;-0.515;4;45.65;0;0;-0.4285;4.911764706
182;9;-0.171;7;46.46;0;0;-0.4285;4.911764706
183;9;-0.231;1;40.3;1;0;-0.4285;4.911764706
184;9;-0.262;7;44.08;0;0;-0.4285;4.911764706
185;9;-1.507;4;41.74;0;0;-0.4285;4.911764706
186;9;-0.666;4;47.2;0;1;-0.4285;4.911764706
187;9;0.359;6;47.46;1;0;-0.4285;4.911764706
188;9;-0.231;3;38.14;1;0;-0.4285;4.911764706
189;9;-0.105;6;47.46;1;0;-0.4285;4.911764706
190;9;0.073;8;46.84;0;0;-0.4285;4.911764706
191;9;-1.159;4;37.14;0;0;-0.4285;4.911764706
192;9;0.075;7;41.65;0;0;-0.4285;4.911764706
193;9;-0.842;5;40.69;0;0;-0.4285;4.911764706
194;9;0.073;7;47.93;1;0;-0.4285;4.911764706
195;9;-0.893;5;40.69;0;0;-0.4285;4.911764706
196;9;-0.262;3;47.98;1;0;-0.4285;4.911764706
197;9;-1.159;4;70.84;0;0;-0.4285;4.911764706
198;9;-0.567;3;38.14;1;0;-0.4285;4.911764706
199;9;-0.567;4;40.69;0;0;-0.4285;4.911764706
200;9;0.458;7;41.58;0;0;-0.4285;4.911764706
201;9;-0.928;5;41.74;0;0;-0.4285;4.911764706
202;9;-0.28;7;38.57;0;0;-0.4285;4.911764706
203;9;0.073;7;39.22;1;0;-0.4285;4.911764706
204;9;0.165;5;38.57;1;0;-0.4285;4.911764706
205;9;-0.262;4;46.84;0;0;-0.4285;4.911764706
206;9;-0.115;3;40.3;1;0;-0.4285;4.911764706
207;9;0.075;7;47.46;1;0;-0.4285;4.911764706
208;9;-0.115;7;46.46;1;0;-0.4285;4.911764706
209;9;-1.159;3;70.84;0;0;-0.4285;4.911764706
210;9;-0.928;4;41.74;0;0;-0.4285;4.911764706
211;10;-0.907;4;61.75;0;1;-0.578964286;3.928571429
212;10;-0.12;4;45.42;0;0;-0.578964286;3.928571429
213;10;-1.148;3;42.27;0;1;-0.578964286;3.928571429
214;10;-0.377;5;45.34;0;1;-0.578964286;3.928571429
215;10;-0.12;4;40.05;0;1;-0.578964286;3.928571429
216;10;-0.12;3;38.38;0;0;-0.578964286;3.928571429
217;10;-0.96;2;61.98;1;1;-0.578964286;3.928571429
218;10;-0.321;3;46.95;0;1;-0.578964286;3.928571429
219;10;-1.104;4;50.3;0;1;-0.578964286;3.928571429
220;10;-1.148;6;38.7;1;1;-0.578964286;3.928571429
221;10;-0.326;1;46.95;0;1;-0.578964286;3.928571429
222;10;-1.117;4;42.27;0;1;-0.578964286;3.928571429
223;10;-1.148;4;37.71;1;1;-0.578964286;3.928571429
224;10;0.392;4;50.73;1;1;-0.578964286;3.928571429
225;10;-0.671;1;56.55;0;1;-0.578964286;3.928571429
226;10;-0.321;1;50.73;0;1;-0.578964286;3.928571429
227;10;-0.256;7;50.73;0;1;-0.578964286;3.928571429
228;10;-1.082;4;50.3;1;1;-0.578964286;3.928571429
229;10;0.385;7;45.34;0;1;-0.578964286;3.928571429
230;10;-1.148;6;50.3;0;1;-0.578964286;3.928571429
231;10;-0.671;4;42.27;0;1;-0.578964286;3.928571429
232;10;-1.082;6;50.46;0;1;-0.578964286;3.928571429
233;10;-0.286;3;45.79;0;1;-0.578964286;3.928571429
234;10;0.392;4;45.42;0;1;-0.578964286;3.928571429
235;10;-1.168;4;42.27;1;1;-0.578964286;3.928571429
236;10;-0.12;4;41.52;0;1;-0.578964286;3.928571429
237;10;-0.377;4;50.73;0;1;-0.578964286;3.928571429
238;10;-1.282;4;42.27;0;1;-0.578964286;3.928571429
239;11;-0.327;4;47.4;1;0;-0.279769231;4.115384615
240;11;-0.437;4;47.4;0;0;-0.279769231;4.115384615
241;11;-0.246;2;47.4;0;0;-0.279769231;4.115384615
242;11;0.096;2;61.37;1;0;-0.279769231;4.115384615
243;11;-0.929;3;58.68;0;0;-0.279769231;4.115384615
244;11;-0.271;7;45.51;0;0;-0.279769231;4.115384615
245;11;-1.075;5;43.15;0;0;-0.279769231;4.115384615
246;11;0.426;4;41.47;1;0;-0.279769231;4.115384615
247;11;-0.089;7;42.8;1;0;-0.279769231;4.115384615
248;11;-1.075;6;45.51;0;0;-0.279769231;4.115384615
249;11;-0.929;6;43.15;1;0;-0.279769231;4.115384615
250;11;0.156;1;53.07;0;0;-0.279769231;4.115384615
251;11;-0.572;6;42.8;0;0;-0.279769231;4.115384615
252;11;-1.17;3;50.22;1;0;-0.279769231;4.115384615
253;11;0.424;5;41.08;1;0;-0.279769231;4.115384615
254;11;-0.344;2;40.37;1;1;-0.279769231;4.115384615
255;11;0.096;2;61.37;0;0;-0.279769231;4.115384615
256;11;-0.498;5;45.11;0;0;-0.279769231;4.115384615
257;11;0.011;1;37.14;1;0;-0.279769231;4.115384615
258;11;-0.327;3;40.44;1;0;-0.279769231;4.115384615
259;11;0.76;3;53.07;1;0;-0.279769231;4.115384615
260;11;-0.944;6;39.53;1;0;-0.279769231;4.115384615
261;11;-0.246;2;58.68;0;0;-0.279769231;4.115384615
262;11;0.156;4;55.89;0;1;-0.279769231;4.115384615
263;11;0.424;7;38.31;1;0;-0.279769231;4.115384615
264;11;-0.344;7;41.08;1;0;-0.279769231;4.115384615
265;12;-0.63;5;40.57;1;0;-0.646;4.583333333
266;12;-1.064;4;45.32;0;1;-0.646;4.583333333
267;12;-0.838;4;39.71;1;1;-0.646;4.583333333
268;12;-0.562;4;46.51;1;1;-0.646;4.583333333
269;12;-0.562;5;46.51;0;0;-0.646;4.583333333
270;12;-0.52;2;46.51;1;0;-0.646;4.583333333
271;12;-0.562;5;36.39;0;0;-0.646;4.583333333
272;12;0.051;2;40.86;1;0;-0.646;4.583333333
273;12;-1.029;5;42.31;0;1;-0.646;4.583333333
274;12;-0.162;8;40.57;1;1;-0.646;4.583333333
275;12;-0.669;7;36.39;0;1;-0.646;4.583333333
276;12;-1.205;4;42.31;1;1;-0.646;4.583333333
277;13;1.154;7;63.46;1;0;0.600058824;4.411764706
278;13;0.547;5;50.54;0;0;0.600058824;4.411764706
279;13;0.658;8;67.54;1;0;0.600058824;4.411764706
280;13;0.427;2;43.39;1;0;0.600058824;4.411764706
281;13;0.553;4;73.33;0;0;0.600058824;4.411764706
282;13;1.112;6;50.54;0;1;0.600058824;4.411764706
283;13;1.112;5;69.19;1;0;0.600058824;4.411764706
284;13;0.499;5;57.3;1;0;0.600058824;4.411764706
285;13;0.553;2;43.39;1;0;0.600058824;4.411764706
286;13;0.427;2;50.56;1;1;0.600058824;4.411764706
287;13;0.547;7;43.63;1;0;0.600058824;4.411764706
288;13;0.36;6;77.01;1;0;0.600058824;4.411764706
289;13;0.553;4;63.46;1;0;0.600058824;4.411764706
290;13;0.582;4;67.54;1;0;0.600058824;4.411764706
291;13;0.606;2;57.29;1;0;0.600058824;4.411764706
292;13;0.36;3;39.34;1;0;0.600058824;4.411764706
293;13;0.151;3;38.07;1;0;0.600058824;4.411764706
294;14;0.307;5;54.93;0;1;0.371210526;4.263157895
295;14;0.307;3;56.16;0;0;0.371210526;4.263157895
296;14;-0.404;3;40.26;1;0;0.371210526;4.263157895
297;14;0.437;3;52.39;1;0;0.371210526;4.263157895
298;14;0.181;5;37.12;1;0;0.371210526;4.263157895
299;14;1.134;7;73.33;1;0;0.371210526;4.263157895
300;14;0.543;3;54.93;0;0;0.371210526;4.263157895
301;14;0.168;4;55.85;1;0;0.371210526;4.263157895
302;14;0.302;4;54.93;1;1;0.371210526;4.263157895
303;14;1.002;7;70.46;1;1;0.371210526;4.263157895
304;14;0.168;2;62.56;0;0;0.371210526;4.263157895
305;14;0.437;3;56.16;0;0;0.371210526;4.263157895
306;14;0.437;3;56.16;0;0;0.371210526;4.263157895
307;14;-0.294;4;39.05;1;0;0.371210526;4.263157895
308;14;-0.294;3;62.56;0;0;0.371210526;4.263157895
309;14;1.002;7;68.56;0;0;0.371210526;4.263157895
310;14;0.181;3;62.56;1;1;0.371210526;4.263157895
311;14;1.002;7;73.33;0;0;0.371210526;4.263157895
312;14;0.437;5;43.67;1;0;0.371210526;4.263157895
313;15;-0.897;4;39.65;1;0;-0.152;4.214285714
314;15;-0.897;5;45.07;0;0;-0.152;4.214285714
315;15;-0.732;4;43.37;0;0;-0.152;4.214285714
316;15;0.854;5;36.17;0;1;-0.152;4.214285714
317;15;-0.566;4;41.46;0;0;-0.152;4.214285714
318;15;-0.732;4;41.46;0;1;-0.152;4.214285714
319;15;-0.732;4;39.05;0;1;-0.152;4.214285714
320;15;-0.566;4;41.46;0;0;-0.152;4.214285714
321;15;-0.732;4;49.16;1;0;-0.152;4.214285714
322;15;1.002;3;39.05;1;0;-0.152;4.214285714
323;15;0.854;4;49.16;0;0;-0.152;4.214285714
324;15;0.874;7;49.16;1;1;-0.152;4.214285714
325;15;0.874;3;39.65;1;0;-0.152;4.214285714
326;15;-0.732;4;43.37;0;0;-0.152;4.214285714
327;16;0.047;6;63.87;1;0;0.131375;3.708333333
328;16;0.434;3;44.08;1;0;0.131375;3.708333333
329;16;0.174;6;64.23;1;0;0.131375;3.708333333
330;16;0.174;4;50.75;1;0;0.131375;3.708333333
331;16;0.004;4;50.43;1;0;0.131375;3.708333333
332;16;0.119;6;63.87;1;0;0.131375;3.708333333
333;16;0.199;2;41.67;1;0;0.131375;3.708333333
334;16;0.513;4;44.08;1;0;0.131375;3.708333333
335;16;-0.207;6;61.92;1;0;0.131375;3.708333333
336;16;-0.334;3;47.94;1;0;0.131375;3.708333333
337;16;0.885;4;44.08;1;0;0.131375;3.708333333
338;16;0.434;3;57.27;1;0;0.131375;3.708333333
339;16;-0.435;4;41.67;1;0;0.131375;3.708333333
340;16;0.513;1;42.05;1;0;0.131375;3.708333333
341;16;0.303;4;55.25;1;0;0.131375;3.708333333
342;16;0.174;2;50.75;1;0;0.131375;3.708333333
343;16;0.004;5;65.03;1;0;0.131375;3.708333333
344;16;-0.334;3;47.94;1;0;0.131375;3.708333333
345;16;-0.435;3;50.75;1;0;0.131375;3.708333333
346;16;0.199;4;41.67;0;0;0.131375;3.708333333
347;16;0.119;4;49.87;0;0;0.131375;3.708333333
348;16;0.285;4;44.08;1;0;0.131375;3.708333333
349;16;0.199;2;57.67;1;0;0.131375;3.708333333
350;16;0.119;2;39.91;1;0;0.131375;3.708333333
351;17;-1.474;5;36.07;0;1;-0.849952381;4.142857143
352;17;-1.072;4;36.07;1;1;-0.849952381;4.142857143
353;17;-1.474;4;38.98;1;1;-0.849952381;4.142857143
354;17;-0.569;5;65.66;1;1;-0.849952381;4.142857143
355;17;-0.779;5;41.67;1;1;-0.849952381;4.142857143
356;17;-1.474;3;45.13;1;0;-0.849952381;4.142857143
357;17;-1.474;3;46.02;1;1;-0.849952381;4.142857143
358;17;-0.039;4;37.2;0;1;-0.849952381;4.142857143
359;17;-1.093;2;41.67;1;1;-0.849952381;4.142857143
360;17;-0.779;3;43.11;0;1;-0.849952381;4.142857143
361;17;-0.818;3;38.01;0;1;-0.849952381;4.142857143
362;17;-1.474;4;46.02;1;0;-0.849952381;4.142857143
363;17;-1.072;2;36.07;1;1;-0.849952381;4.142857143
364;17;-0.569;4;44.29;1;0;-0.849952381;4.142857143
365;17;0.199;7;44.95;0;0;-0.849952381;4.142857143
366;17;-1.072;4;36.07;1;1;-0.849952381;4.142857143
367;17;-0.569;4;44.29;0;0;-0.849952381;4.142857143
368;17;-1.067;3;41.67;1;1;-0.849952381;4.142857143
369;17;0.199;7;57.21;1;0;-0.849952381;4.142857143
370;17;-1.487;4;46.7;1;0;-0.849952381;4.142857143
371;17;0.108;7;44.08;0;1;-0.849952381;4.142857143
372;18;-1.276;4;39.73;1;0;0.4266;4.466666667
373;18;-0.14;7;73.35;0;0;0.4266;4.466666667
374;18;-0.953;4;73.35;0;0;0.4266;4.466666667
375;18;1.032;7;43.07;1;0;0.4266;4.466666667
376;18;1.032;4;58.28;1;0;0.4266;4.466666667
377;18;1.032;4;35.71;0;0;0.4266;4.466666667
378;18;0.462;4;35.71;1;0;0.4266;4.466666667
379;18;-0.212;5;63.74;0;0;0.4266;4.466666667
380;18;0.706;3;64.36;0;0;0.4266;4.466666667
381;18;1.454;4;35.71;0;0;0.4266;4.466666667
382;18;1.454;5;58.79;0;0;0.4266;4.466666667
383;18;-0.212;4;56.99;1;0;0.4266;4.466666667
384;18;1.454;5;59.16;0;0;0.4266;4.466666667
385;18;0.706;3;54.07;0;0;0.4266;4.466666667
386;18;-0.14;4;63.74;0;0;0.4266;4.466666667
387;19;0.362;3;49.71;0;0;0.244347826;4.391304348
388;19;-0.97;3;40.54;0;1;0.244347826;4.391304348
389;19;-0.728;2;46.84;1;1;0.244347826;4.391304348
390;19;0.767;4;71.84;0;1;0.244347826;4.391304348
391;19;0.197;2;49.71;1;0;0.244347826;4.391304348
392;19;0.723;6;53.16;0;0;0.244347826;4.391304348
393;19;1.533;6;50.39;0;0;0.244347826;4.391304348
394;19;0.514;7;50.38;1;1;0.244347826;4.391304348
395;19;1.608;7;50.39;1;0;0.244347826;4.391304348
396;19;0.028;6;55.62;0;0;0.244347826;4.391304348
397;19;-0.822;2;42.66;1;1;0.244347826;4.391304348
398;19;0.087;2;73.78;0;0;0.244347826;4.391304348
399;19;0.767;6;62.59;0;1;0.244347826;4.391304348
400;19;-0.149;6;46.84;1;0;0.244347826;4.391304348
401;19;-0.97;3;42.66;1;1;0.244347826;4.391304348
402;19;0.838;6;50.39;0;0;0.244347826;4.391304348
403;19;0.362;7;43.04;1;0;0.244347826;4.391304348
404;19;1.533;4;71.84;0;1;0.244347826;4.391304348
405;19;-0.864;3;40.72;1;1;0.244347826;4.391304348
406;19;0.723;4;50.38;1;1;0.244347826;4.391304348
407;19;0.284;4;54.83;0;0;0.244347826;4.391304348
408;19;-0.97;4;49.35;1;0;0.244347826;4.391304348
409;19;0.767;4;62.59;1;0;0.244347826;4.391304348
410;20;0.382;4;43.96;1;0;0.2098;4.28
411;20;-0.256;6;44.38;1;0;0.2098;4.28
412;20;0.378;6;65;0;0;0.2098;4.28
413;20;1.436;7;40.15;1;0;0.2098;4.28
414;20;-0.372;2;47.08;0;0;0.2098;4.28
415;20;-0.062;4;60.27;1;0;0.2098;4.28
416;20;0.299;4;43.96;1;0;0.2098;4.28
417;20;0.755;5;43.8;1;0;0.2098;4.28
418;20;0.513;6;43.96;1;0;0.2098;4.28
419;20;0.339;5;41.91;0;0;0.2098;4.28
420;20;-0.282;2;42.99;0;0;0.2098;4.28
421;20;0.299;4;44.38;1;0;0.2098;4.28
422;20;-0.062;6;44.38;0;0;0.2098;4.28
423;20;0.378;6;65;0;0;0.2098;4.28
424;20;-0.074;4;43.96;0;0;0.2098;4.28
425;20;0.513;4;60.27;1;1;0.2098;4.28
426;20;0.57;4;47.09;1;0;0.2098;4.28
427;20;-0.372;6;43.42;0;0;0.2098;4.28
428;20;-0.256;2;41.91;1;0;0.2098;4.28
429;20;-0.074;4;43.96;1;0;0.2098;4.28
430;20;0.339;7;44.38;0;0;0.2098;4.28
431;20;-0.074;1;44.38;1;0;0.2098;4.28
432;20;0.545;1;43.8;1;0;0.2098;4.28
433;20;0.755;4;55.04;1;0;0.2098;4.28
434;20;-0.372;3;43.42;1;0;0.2098;4.28
435;24;-1.102;2;38.11;1;1;-0.781176471;3.058823529
436;24;-1.142;2;45.44;1;1;-0.781176471;3.058823529
437;24;-0.604;2;45.46;0;1;-0.781176471;3.058823529
438;24;-0.114;3;43.92;1;1;-0.781176471;3.058823529
439;24;0.589;4;52.94;1;1;-0.781176471;3.058823529
440;24;-1.179;4;39.07;1;1;-0.781176471;3.058823529
441;24;-1.179;4;39.46;1;1;-0.781176471;3.058823529
442;24;-0.232;3;43.92;1;1;-0.781176471;3.058823529
443;24;-1.591;4;37.3;1;1;-0.781176471;3.058823529
444;24;-1.056;4;41.04;0;1;-0.781176471;3.058823529
445;24;-1.397;2;45.46;1;1;-0.781176471;3.058823529
446;24;-0.232;3;39.69;0;1;-0.781176471;3.058823529
447;24;0.589;3;56.28;1;1;-0.781176471;3.058823529
448;24;-1.056;2;43.09;0;1;-0.781176471;3.058823529
449;24;-1.056;2;43.09;0;1;-0.781176471;3.058823529
450;24;-1.339;4;43.15;1;1;-0.781176471;3.058823529
451;24;-1.179;4;39.07;0;1;-0.781176471;3.058823529
452;25;-1.163;8;39.69;1;1;-0.484357143;4.392857143
453;25;0.479;4;48.95;0;1;-0.484357143;4.392857143
454;25;0.318;5;44.63;0;1;-0.484357143;4.392857143
455;25;-1.207;8;39.74;1;1;-0.484357143;4.392857143
456;25;-0.322;5;42.45;1;1;-0.484357143;4.392857143
457;25;0.129;4;44.63;0;1;-0.484357143;4.392857143
